Key	English(en)	DE	ES	FR	IT	NL	PT																		Last Edited
ho_12/t_trivia1	Montmartre was only annexed to Paris in 1860. 11 years later, the revolutionary uprising known as the Paris Commune would begin in Montmartre.	Montmartre wurde erst 1860 in die Stadt Paris eingemeindet. Elf Jahre später war der Stadtteil der Ausgangspunkt des revolutionären Aufstands, der "Pariser Kommune" genannt wird.	Montmartre fue anexada a París en 1860. 11 años después, empezaría en Montmartre el levantamiento revolucionario conocido como la Comuna de París.	Le quartier de Montmartre a été annexé à Paris en 1860 seulement. 11 ans plus tard, le soulèvement révolutionnaire connu sous le nom de la Commune a débuté à Montmartre.	Montmartre venne annesso a Parigi solo nel 1860. 11 anni dopo sarebbe sorta proprio lì la rivolta rivoluzionaria nota come La Comune di Parigi.	Montmartre hoort sinds 1860 bij Parijs. Elf jaar na deze ontwikkeling brak de revolutionaire opstand uit die ook wel de Commune van Parijs werd genoemd en in Montmartre ontstond.	Montmartre só foi anexado a Paris em 1860. 11 anos depois, o levante revolucionário conhecido como Comuna de Paris começaria nesse bairro. 																		1632380463105
ho_12/t_trivia2	Although Beauty and the Beast takes place in the French region of Alsace, the 2017 remake was shot in Montmartre — roughly 500 kilometers away from the original setting.	Obwohl "Die Schöne und das Biest" im französischen Elsass stattfindet, wurde das Remake aus dem Jahr 2017 in Montmartre gedreht – etwa 500 Kilometer entfernt vom eigentlichen Schauplatz.	Aunque La Bella y la Bestia transcurre en la región francesa de Alsacia, la versión de 2017 fue rodada en Montmartre, a unos 500 kilómetros del escenario original.	Même si l’histoire de la Belle et la Bête se déroule en Alsace, le remake de 2017 a été tourné à Montmartre, soit à environ 500 kilomètres du lieu originel.	Sebbene la Bella e la Bestia si svolga nella regione francese dell'Alsazia, il remake del 2017 venne girato a Montmartre, approssimativamente a 500 chilometri di distanza dall'ambientazione originale.	Hoewel Belle en het Beest zich afspeelt in de Franse regio Elzas, werd de remake uit 2017 opgenomen in Montmartre, op ongeveer 500 kilometer van de oorspronkelijke locatie.	Embora a história de A Bela e a Fera ocorra na região francesa da Alsácia, a refilmagem de 2017 foi realizada em Montmartre, aproximadamente 500 quilômetros de distância do cenário original.																		1632380463105
ho_12/t_trivia3	Vincent Van Gogh made his first attempts at Japonaiserie while he was living in Montmartre. His first attempt was a trace of a figure on the cover of the magazine Paris Illustre.	Während Vincent van Gogh in Montmartre lebte, versuchte er sich zuerst an Japonesquen. Sein erster Versuch bestand darin, eine Gestalt auf der Titelseite der Zeitschrift "Paris Illustre" nachzuzeichnen.	Vincent Van Gogh se inició en la Japonaiserie mientras vivía en Montmartre. Su primer intento fue el trazado de una figura en la portada de la revista Paris Illustre.	Vincent Van Gogh a fait ses premières tentatives de japonaiseries quand il vivait à Montmartre. Son premier essai constituait en une silhouette négligemment  sur la couverture de la revue Paris illustré.	I primi tentativi di Vincent Van Gogh di riprodurre i capolavori della Giapponeseria avvennero durante il suo soggiorno a Montmartre. Il primo fu il ritratto di una figura femminile preso dalla copertina della rivista Paris Illustré.	Vincent van Gogh begon voor het eerst met Japonaiserie toen hij in Montmartre woonde. Bij zijn eerste poging tekende hij een figuur over op de omslag van het tijdschrift Paris Illustre.	Vincent Van Gogh começou a pintar suas obras relacionadas ao termo Japonaiserie no período em que morou em Montmartre. O desenho da figura na capa da revista Paris Illustre foi seu primeiro trabalho.																		1632380463105
ho_12/t_trivia4	The modern cancan dance was born in the Moulin Rouge during the 1840s. The early cancan dancers were mostly prostitutes, but by the 1890s, full-time dancers had gotten involved as well.	Während der 1840er Jahre wurde im Moulin Rouge der moderne Cancan geboren. Die frühesten Cancan-Tänzerinnen waren hauptsächlich Prostituierte, aber in den 1890er Jahren entdeckten ihn auch professionelle Tänzerinnen für sich.	El baile del cancán moderno nació en el Moulin Rouge durante la década de 1840. Las primeras bailarinas del cancán eran en su mayoría prostitutas, pero en la década de 1890, también se dedicaban a ello bailarinas profesionales.	Le cancan est une danse qui a vu le jour au Moulin-Rouge dans les années 1840. Les premières danseuses de cancan étaient pour la plupart des prostituées, mais dès les années 1890, des danseuses professionnelles ont fait leur apparition.	Il moderno ballo del can-can ebbe origine al Moulin Rouge negli anni Quaranta del XIX secolo. Le primissime ballerine erano per gran parte prostitute, ma negli anni Novanta di quel secolo era proposto anche da ballerine professioniste.	De moderne cancan ontstond in de jaren 1840 in de Moulin Rouge. De eerste cancandanseressen waren voornamelijk prostituees, maar in de jaren 1890 werden er ook professionele danseressen aangenomen.	A dança cancan surgiu no Moulin Rouge durante a década de 1840. Na época, as dançarinas eram, na maioria, prostitutas, mas a partir de 1890 apenas dançarinas oficiais passaram a se apresentar.																		1632380463105
ho_12/t_trivia5	The Moulin Rouge was the first building in Paris to have electricity installed. The architect Adolphe Léon Willette designed the cabaret’s electric facade that would light up every 10pm.	Das Moulin Rouge war das erste Gebäude in Paris, das über Elektrizität verfügte. Der Architekt Adolphe-Léon Willette entwarf die elektrische Fassade des Varietétheaters, die jeden Abend ab 22 Uhr aufleuchtete.	El Moulin Rouge fue el primer edificio de París en tener instalación eléctrica. El arquitecto Adolphe Léon Willette fue quien diseñó la fachada eléctrica del cabaret, que se enciende cada día a las 10 de la noche.	Le Moulin-Rouge fut le premier bâtiment de Paris a être doté de l’électricité. L’architecte Adolphe Léon Willette a conçu la façade électrifiée du cabaret qui s’illuminait tous les soirs à 22 heures.	Il Moulin Rouge fu il primo edificio di Parigi ad avere un impianto elettrico. L'architetto Adolphe Léon Willette progettò la facciata illuminata del locale in modo che si accendesse ogni sera alle 22.	De Moulin Rouge was het eerste gebouw van Parijs met elektriciteit. Architect Adolphe Léon Willette ontwierp de elektrische gevel van het cabarettheater die elke avond om tien uur oplichtte.	O Moulin Rouge foi a primeira edificação de Paris a usar eletricidade. O arquiteto Adolphe Léon Willette projetou a fachada luminosa do cabaré que acendia sempre às 22 h.																		1632380463105
ho_14/t_trivia1	The oldest tree in Paris is a locust tree that was planted in 1601. The tree can be found in the Square René-Viviani, on the southern bank of the River Seine.	Der älteste Baum in Paris ist eine Robinie, die im Jahr 1601 angepflanzt wurde. Der Baum befindet sich auf dem Platz René-Vivani, am südlichen Ufer der Seine.	El árbol más longevo de París es una falsa acacia que fue plantada en 1601. Este árbol se encuentra en la plaza René-Viviani, en la orilla sur del río Sena.	Le plus vieil arbre de Paris est un faux acacia planté en 1601. Cet arbre se trouve dans le square René Viviani, sur la rive sud de la Seine.	L'albero più antico di Parigi è un albero di acacia che venne piantato nel 1601. Si trova in piazza René Viviani, sulla sponda meridionale del fiume Senna.	De oudste boom van Parijs is een Robinia die in 1601 werd geplant. Je vindt de boom op het plein René-Viviani, aan de zuidelijke oever van de rivier de Seine.	A árvore mais antiga de Paris é uma acácia plantada em 1601, e fica na Praça René-Viviani, na margem sul do Sena.																		1632380463105
ho_14/t_trivia2	Paris is divided into 20 administrative districts called arrondissements. These 20 arrondissements are numbered to resemble the spiral of a snail shell.	Paris wird in 20 Verwaltungsbezirke unterteilt, genannt "Arrondissements". Diese 20 Arrondissements sind in einer Reihenfolge nummeriert, die der Spirale eines Schneckenhauses ähnelt.	París está dividida en 20 distritos administrativos llamados arrondissements. Estos 20 arrondissements están numerados de manera que se asemejen a la espiral de la concha de un caracol.	Paris est divisée en 20 divisions administratives appelées arrondissements. Ces 20 arrondissements sont numérotés et forment ce qui pourrait ressembler à une coquille d’escargot.	Parigi è suddivisa in 20 distretti amministrativi chiamati "arrondissement", i quali sono anche numerati in modo da formare la spirale del guscio di una lumaca.	Parijs bestaat uit 20 administratieve districten genaamd arrondissements. Deze 20 arrondissements zijn zo genummerd dat ze op de spiraal van een slakkenhuis lijken.	Paris está dividida em 20 distritos administrativos denominados como "arrondissements". Esses 20 bairros são numerados de forma semelhante à casca de um caracol.																		1632380463105
ho_14/t_trivia3	The first Renault car, the Renault Voiturette 1CV, was test-driven on the Parisian street, the rue Lepic. After Louis Renault drove the car, he received 12 orders, starting his car brand.	Die Testfahrt für den ersten Renault, den Renault Voiturette 1CV, fand auf der Rue Lepic in Paris statt. Nachdem Louis Renault die Testfahrt beendet hatte, erhielt er zwölf Bestellungen und seine Automarke war ins Leben gerufen.	El primer coche Renault, el Renault Voiturette 1CV, se probó en la rue Lepic de París. Después de que Louis Renault condujera el coche, recibió 12 pedidos, lo que supuso el inicio de su marca de coches.	La première voiture Renault, une voiturette de 1 CV, a été mise à l’essai dans la rue Lepic. Au terme de cet essai concluant, Louis Renault a reçu 12 commandes pour cette voiture, et c’est ainsi qu’a débuté l’histoire de la marque.	La prima automobile Renault, la Renault Voiturette 1CV, venne testata su strada proprio a Parigi, in rue Lepic. Dopo averla guidata, Louis Renault ricevette 12 ordini di acquisto, che gli consentirono di avviare l’attività della sua casa automobilistica.	De eerste auto van Renault, de Renault Voiturette 1CV, beleefde zijn eerste proef op de straten van Parijs, op de Rue Lepic. Nadat Louis Renault in de auto had gereden, kreeg hij twaalf bestellingen, waarna hij zijn automerk oprichtte.	O test-drive do primeiro carro Renault, o Renault Voiturette 1CV, foi na rua Lepic. Louis Renault recebeu 12 encomendas após ter dirigido o veículo, dando assim início à sua marca automobilística.																		1632380463105
ho_14/t_trivia4	The Paris region is home to five Unesco World Heritage sites: the Château de Versailles, the Le Corbusier, the banks of the Seine, the Château de Fontainebleau, and Provins.	Im Großraum Paris befinden sich fünf Stätten des Unesco-Weltkulturerbes: das Château de Versailles, die Stiftung Le Corbusier, die Ufer der Seine, das Château de Fontainebleau und die Gemeinde Provins.	La región de París alberga cinco Patrimonios de la Humanidad por la UNESCO: el Château de Versailles, Le Corbusier, las orillas del Sena, el Château de Fontainebleau y Provins.	La région parisienne abrite cinq sites du patrimoine mondial de l’UNESCO : le château de Versailles, l’œuvre architecturale de Le Corbusier, les rives de la Seine, le château de Fontainebleau et Provins.	La regione di Parigi ospita cinque siti proclamati Patrimonio dell’umanità dall’UNESCO: la Reggia di Versailles, Le Corbusier, le sponde della Senna, il castello di Fontainebleau e Provins.	De regio Parijs bestaat uit vijf locaties die op de Werelderfgoedlijst van UNESCO staan: het Château de Versailles, de Le Corbusier, de oevers van de Seine, het Château de Fontainebleau en Provins.	A região de Paris abriga cinco Patrimônios Mundiais da Unesco: o Palácio de Versalhes, o edifício Le Corbusier, as margens do Sena, o Palácio de Fontainebleau e Provins.																		1632380463105
ho_14/t_trivia5	During World War I, a fake Paris was constructed outside the actual city in order to trick the German military. The Faux Paris was built near the suburban town of Maisons Laffitte.	Während des Ersten Weltkriegs wurde außerhalb der Stadt ein zweites Paris gebaut, um das deutsche Militär in die Irre zu führen. Das "Faux Paris" wurde in der Nähe der Stadt Maisons-Laffitte gebaut.	Durante la Primera Guerra Mundial, se construyó un París falso fuera de la verdadera ciudad para engañar al ejército alemán. El Faux Paris fue construido cerca de la ciudad suburbana de Maisons Laffitte.	Lors de la Première Guerre mondiale, une fausse ville de Paris a été conçue à l’extérieur de la véritable ville, pour piéger l’armée allemande. Le Faux Paris se trouvait près d’une ville de banlieue, Maisons-Lafitte.	Durante la prima Guerra Mondiale venne costruita una Parigi fittizia al di fuori dell’attuale città per poter ingannare i militari tedeschi. Questa città fittizia venne costruita vicino alla città suburbana di Maisons Laffitte.	In de Eerste Wereldoorlog werd er buiten de stad een nepversie van Parijs gebouwd om het Duitse leger te misleiden. Faux Paris werd bij de voorstad Maisons-Laffitte gebouwd.	Durante a Primeira Guerra Mundial, construíram uma Paris falsa longe da cidade verdadeira para enganar as tropas alemãs. A réplica da capital francesa foi construída perto de Maisons-Laffitte.																		1632380463105
ho_13/t_trivia1	There are no stop signs on any of the streets in Paris. Though there was once a stop sign on the Quai Saint-Exupéry, the sign disappeared sometime between 2012 and 2014.	Auf Pariser Straßen gibt es keine Stoppschilder. Zwischenzeitlich gab es zwar ein Stoppschild auf dem Quai Saint-Exupéry, doch es verschwand im Zeitraum von 2012 bis 2014.	En las calles de París no hay señales de stop. Aunque una vez hubo una señal de stop en la Quai Saint-Exupéry, esta desapareció en algún momento entre 2012 y 2014.	Aucune rue de paris ne comporte de panneaux « Stop ». Il y a bien eu un panneau Stop sur le Quai Saint-Exupéry, mais il a disparu entre 2012 et 2014.	Non ci sono segnali di stop su nessuna strada di Parigi. Sebbene una volta ce n’era uno sulla Quai Saint-Exupéry, il segnale sparì un giorno compreso tra il 2012 e il 2014.	Je vindt nergens stopborden in Parijs. Hoewel er ooit een stopbord op de Quai Saint-Exupéry stond, verdween het bord tussen 2012 en 2014.	Não há placas de 'Pare' em nenhuma rua de Paris. Até a que havia na Quai Saint-Exupéry desapareceu em algum momento entre 2012 e 2014.																		1632380463105
ho_13/t_trivia2	The shortest street in Paris is called the rue des Degrés. The street is less than 6 meters long, and is made of a single 14-step staircase connecting the rue de Cléry and the rue Beauregard.	Die kürzeste Straße von Paris ist die Rue des Degrés. Die Straße ist nicht mal sechs Meter lang und besteht aus einer 14-stufigen Treppe, die die Rue de Cléry mit der Rue Beauregard verbindet.	La calle más corta de París se llama rue des Degrés. Esta calle tiene menos de 6 metros de largo y está formada únicamente por unas escaleras de 14 escalones que conectan la rue de Cléry y la rue Beauregard.	La rue la plus courte de Paris est la rue des Degrés. Cette rue mesure moins de 6 mètres de long et est constituée d’un escalier de 14 marches reliant la rue de Cléry et la rue Beauregard.	La strada più corta di Parigi è la rue des Degrés. È lunga non più si 6 metri ed è fatta di una sola scala di 14 gradini che collega rue de Cléry e rue Beauregard.	De kortste straat van Parijs heet Rue des Degrés. De straat is nog geen 6 meter lang en bestaat uit één trap van 14 treden die de Rue de Cléry verbindt met de Rue Beauregard.	A rua Degrés é a mais curta de Paris. Ela tem menos de 6 metros de extensão e é composta por uma escadaria com 14 degraus que conecta as ruas Cléry e Beauregard.																		1632380463105
ho_13/t_trivia3	The oldest house in Paris is located at 51, rue de Montmorency. It was built in 1407 by Nicolas Flamel, the man who is said to have discovered the secret of the philosopher’s stone.	Das älteste Haus in Paris befindet sich in der Rue de Montmorency 51. Es wurde im Jahr 1407 von Nicolas Flamel erbaut, dem Mann, der Legenden zufolge das Geheimnis des Steins der Weisen entdeckt haben soll.	La casa más antigua de París se encuentra en el 51 de la rue de Montmorency. Fue construida en 1407 por Nicolas Flamel, el hombre que se dice que descubrió el secreto de la piedra filosofal.	La plus vieille maison de Paris se situe au 51, rue de Montmorency. Elle a été construite en 1407 par Nicolas Flamel, l’homme qui prétendait avoir découvert le secret de la pierre philosophale.	La casa più antica di Parigi si trova al civico 51 di rue de Montmorency. Venne costruita nel 1407 da Nicolas Flamel, l’uomo che si dice abbia scoperto il segreto della pietra filosofale.	Het oudste huis van Parijs staat aan Rue de Montmorency nummer 51. Het werd in 1407 gebouwd door Nicolas Flamel, de man die het geheim van de steen der wijzen zou hebben ontdekt.	A casa mais antiga de Paris fica no número 51 da rua Montmorency. Foi construída em 1407 por Nicolas Flamel, o homem que dizem ter descoberto o segredo da pedra filosofal.																		1632380463105
ho_13/t_trivia4	The oldest street in Paris is the Rue Saint-Jacques. Some notable sites on the Rue Saint-Jacques include the Sorbonne, the Lycée Louis-le-Grand, and the Institut de géographie.	Die älteste Straße in Paris ist die Rue Saint-Jacques. Wichtige Gebäude auf der Rue Saint-Jacques sind unter anderem die Sorbonne, das Lycée Louis-le-Grand und das Institut der Geografie.	La calle más antigua de París es la Rue Saint-Jacques. En esta calle encontramos lugares destacados como la Sorbona, el Lycée Louis-le-Grand o el Institut de géographie.	La plus ancienne rue de Paris est la rue Saint-Jacques. On y trouve des sites notables, tels que la Sorbonne, le lycée Louis-le-Grand ou encore l’Institut de géographie.	La strada più antica di Parigi è rue Saint-Jacques. Alcuni siti importanti di rue Saint-Jacques includono la Sorbonne, il Lycée Louis-le-Grand e l’Istituto di geografia.	De oudste straat van Parijs is de Rue Saint-Jacques. Aan de Rue Saint-Jacques vind je enkele belangrijke bezienswaardigheden, waaronder de Sorbonne, het Lycée Louis-le-Grand en het Institut de Géographie.	A rua Saint-Jacques é a mais antiga de Paris. Alguns dos lugares mais famosos dessa rua são a Sorbonne, o Lycée Louis-le-Grand e o Instituto de Geografia.																		1632380463105
